# Source: GENCODE
# Version: 43
# GenomeBuild: GRCh38
# URL: https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_43/gencode.v43.annotation.gtf.gz
# Assays:
# BiosampleAgnostic: True
# BiosampleTermName:
# BiosampleTermID:
# Metadata:
TSSChr	TSSStart	TSSEnd	GeneSymbol	GeneEnsemblID	GeneStrand
chr1	36081	36082	FAM138A	ENSG00000237613	-
chr1	36081	36082	FAM138F	ENSG00000282591	-
chr1	69090	69091	OR4F5	ENSG00000186092	+
chr1	817370	817371	FAM87B	ENSG00000177757	+
chr1	827522	827523	LINC00115	ENSG00000225880	-
chr1	827590	827591	LINC01128	ENSG00000228794	+
chr1	876802	876803	FAM41C	ENSG00000230368	-
chr1	925740	925741	SAMD11	ENSG00000187634	+
chr1	959299	959300	NOC2L	ENSG00000188976	-
chr1	960586	960587	KLHL17	ENSG00000187961	+
chr1	966496	966497	PLEKHN1	ENSG00000187583	+
chr1	982117	982118	PERM1	ENSG00000187642	-
chr1	1000172	1000173	HES4	ENSG00000188290	-
chr1	1013466	1013467	ISG15	ENSG00000187608	+
chr1	1020122	1020123	AGRN	ENSG00000188157	+
chr1	1074307	1074308	RNF223	ENSG00000237330	-
chr1	1116356	1116357	C1orf159	ENSG00000131591	-
chr1	1137016	1137017	LINC01342	ENSG00000223823	+
chr1	1179696	1179697	TTLL10	ENSG00000162571	+
chr1	1206709	1206710	TNFRSF18	ENSG00000186891	-
chr1	1214168	1214169	TNFRSF4	ENSG00000186827	-
chr1	1232067	1232068	SDF4	ENSG00000078808	-
chr1	1232248	1232249	B3GALT6	ENSG00000176022	+
chr1	1246722	1246723	C1QTNF12	ENSG00000184163	-
chr1	1273854	1273855	UBE2J2	ENSG00000160087	-
chr1	1280435	1280436	SCNN1D	ENSG00000162572	+
chr1	1307889	1307890	ACAP3	ENSG00000131584	-
chr1	1308579	1308580	PUSL1	ENSG00000169972	+
chr1	1324687	1324688	INTS11	ENSG00000127054	-
chr1	1324762	1324763	CPTP	ENSG00000224051	+
chr1	1331345	1331346	TAS1R3	ENSG00000169962	+
chr1	1349112	1349113	DVL1	ENSG00000107404	-
chr1	1358794	1358795	MXRA8	ENSG00000162576	-
chr1	1375438	1375439	AURKAIP1	ENSG00000175756	-
chr1	1399338	1399339	CCNL2	ENSG00000221978	-
chr1	1407313	1407314	MRPL20	ENSG00000242485	-
chr1	1421444	1421445	ANKRD65	ENSG00000235098	-
chr1	1426127	1426128	TMEM88B	ENSG00000205116	+
chr1	1434573	1434574	LINC01770	ENSG00000225285	-
chr1	1435522	1435523	VWA1	ENSG00000179403	+
chr1	1449688	1449689	ATAD3C	ENSG00000215915	+
chr1	1471754	1471755	ATAD3B	ENSG00000160072	+
chr1	1512142	1512143	ATAD3A	ENSG00000197785	+
chr1	1540360	1540361	TMEM240	ENSG00000205090	-
chr1	1574882	1574883	SSU72	ENSG00000160075	-
chr1	1600096	1600097	FNDC10	ENSG00000228594	-
chr1	1615414	1615415	MIB2	ENSG00000197530	+
chr1	1632180	1632181	MMP23B	ENSG00000189409	+
chr1	1724420	1724421	CDK11B	ENSG00000248333	-
chr1	1692804	1692805	SLC35E2B	ENSG00000189339	-
chr1	1724565	1724566	CDK11A	ENSG00000008128	-
chr1	1745999	1746000	SLC35E2	ENSG00000215790	-
chr1	1778470	1778471	NADK	ENSG00000008130	-
chr1	1891117	1891118	GNB1	ENSG00000078369	-
chr1	1914826	1914827	CALML6	ENSG00000169885	+
chr1	1919301	1919302	TMEM52	ENSG00000178821	-
chr1	2003837	2003838	CFAP74	ENSG00000142609	-
chr1	2019328	2019329	GABRD	ENSG00000187730	+
chr1	2050469	2050470	PRKCZ	ENSG00000067606	+
chr1	2194775	2194776	FAAP20	ENSG00000162585	-
chr1	2228694	2228695	SKI	ENSG00000157933	+
chr1	2391751	2391752	MORN1	ENSG00000116151	-
chr1	2391774	2391775	RER1	ENSG00000157916	+
chr1	2412571	2412572	PEX10	ENSG00000157911	-
chr1	2476314	2476315	PLCH2	ENSG00000149527	+
chr1	2526628	2526629	PANK4	ENSG00000157881	-
chr1	2530245	2530246	HES5	ENSG00000197921	-
chr1	2556364	2556365	TNFRSF14	ENSG00000157873	+
chr1	2586749	2586750	FAM213B	ENSG00000157870	+
chr1	2633042	2633043	MMEL1	ENSG00000142606	-
chr1	3021481	3021482	ACTRT2	ENSG00000169717	+
chr1	3069177	3069178	PRDM16	ENSG00000142611	+
chr1	3454582	3454583	ARHGEF16	ENSG00000130762	+
chr1	3611495	3611496	MEGF6	ENSG00000162591	-
chr1	3624991	3624992	TPRG1L	ENSG00000158109	+
chr1	3650107	3650108	WRAP73	ENSG00000116213	-
chr1	3652564	3652565	TP73	ENSG00000078900	+
chr1	3752400	3752401	CCDC27	ENSG00000162592	+
chr1	3772786	3772787	SMIM1	ENSG00000235169	+
chr1	3796504	3796505	LRRC47	ENSG00000130764	-
chr1	3857233	3857234	CEP104	ENSG00000116198	-
chr1	3857266	3857267	DFFB	ENSG00000169598	+
chr1	3900293	3900294	C1orf174	ENSG00000198912	-
chr1	3900403	3900404	LINC01134	ENSG00000236423	+
chr1	3940611	3940612	LINC01346	ENSG00000233304	+
chr1	4412050	4412051	LINC01777	ENSG00000235054	+
chr1	4655044	4655045	AJAP1	ENSG00000196581	+
chr1	5992473	5992474	NPHP4	ENSG00000131697	-
chr1	6026012	6026013	KCNAB2	ENSG00000069424	+
chr1	6180134	6180135	CHD5	ENSG00000116254	-
chr1	6199619	6199620	RPL22	ENSG00000116251	-
chr1	6206128	6206129	RNF207	ENSG00000158286	+
chr1	6235984	6235985	ICMT	ENSG00000116237	-
chr1	6236239	6236240	LINC00337	ENSG00000225077	+
chr1	6244191	6244192	HES3	ENSG00000173673	+
chr1	6260975	6260976	GPR153	ENSG00000158292	-
chr1	6393766	6393767	ACOT7	ENSG00000097021	-
chr1	6419919	6419920	HES2	ENSG00000069812	-
chr1	6424787	6424788	ESPN	ENSG00000187017	+
chr1	6466195	6466196	TNFRSF25	ENSG00000215788	-
chr1	6491701	6491702	PLEKHG5	ENSG00000171680	-
chr1	6554598	6554599	NOL9	ENSG00000162408	-
chr1	6555277	6555278	TAS1R1	ENSG00000173662	+
chr1	6579990	6579991	ZBTB48	ENSG00000204859	+
chr1	6602898	6602899	KLHL21	ENSG00000162413	-
chr1	6613695	6613696	PHF13	ENSG00000116273	+
chr1	6625149	6625150	THAP3	ENSG00000041988	+
chr1	6701906	6701907	DNAJC11	ENSG00000007923	-
chr1	6724744	6724745	LINC01672	ENSG00000228750	+
chr1	6785323	6785324	CAMTA1	ENSG00000171735	+
chr1	7771268	7771269	VAMP3	ENSG00000049245	+
chr1	7784428	7784429	PER3	ENSG00000049246	+
